id,name,provId,geoId,provName,421province,alternateNames,district,Code
805,Onaba(Anawa),8,806,Panjsher,Panjsher,"Unaba, Anawa, Anaba, Hisa-e-Char Panjshir.",Unaba,805
807,Parian,8,807,Panjsher,,,,
901,Pul-e- khumri,9,901,Baghlan,Baghlan,"Pul-i-Khumri, Pul-e-Khumri.",Pul-i-Khumri,901
905,Baghlan-e-jadid,9,902,Baghlan,Baghlan,"Baghlan-e-Jadeed, Baghlani Markazi, Baghlan Markazi.  (There was once a ""Baghlan"" district.  It is now part of what all of these sets report as Baghlan-e-Jadeed.)",Baghlan-e-Jadeed,905
902,Dahana-e-Ghory,9,903,Baghlan,Baghlan,"Dahana-e-Ghuri, Dahanah-ye Ghori, Dahana-e-Ghori, Dand-e Ghor.",Dahana-e-Ghuri,902
903,Dushi,9,904,Baghlan,Baghlan,"Dushi, Doshi.",Dushi,903
904,Nahrin,9,905,Baghlan,,,,
911,Tala wa barfak,9,906,Baghlan,Baghlan,"Tala Wa Barfak, Talah wa Barfak, Tala Barfak.",Tala Wa Barfak,911
906,Khenjan,9,907,Baghlan,Baghlan,"Khinjan, Khenjan.",Khinjan,906
907,Andarab,9,908,Baghlan,Baghlan,"Andarab, Bano Andarab.",Andarab,907
909,Khwaja Hejran,9,909,Baghlan,Baghlan,"Khwaja Hejran, Jalga, Khwajahejran, Khwajah Higran.",Khwaja Hejran,909
910,Burka,9,910,Baghlan,Baghlan,"Burka, Barka.",Burka,910
912,Pul-e-Hesar,9,911,Baghlan,Baghlan,"Pul-e-Hisar, Pul-i Hesar, Pul-e Hesar, Pule Hisar.",Pul-e-Hisar,912
908,Deh Salah,9,912,Baghlan,Baghlan,"Deh Salah, Dehsalah, Deh-e Salah.",Deh Salah,908
913,Khowst wa Fereng,9,913,Baghlan,,,,
914,Guzargah-e- Nur,9,914,Baghlan,Baghlan,"Gozargah-e-Noor, Guzargah-e- Nur.",Gozargah-e-Noor,914
915,Firing Wa Gharu,9,915,Baghlan,Baghlan,"Firing Wa Gharu, Fereng Wa Gharu, Farang wa Gharu, Farang.",Firing Wa Gharu,915
1001,Bamyan,10,1001,Bamyan,Bamiyan,"Bamyan, Bamian.",Bamyan,1001
1003,Sayghan,10,1002,Bamyan,Bamiyan,"Saighan, Sayghan.",Saighan,1003
1005,Yakawlang,10,1003,Bamyan,Bamiyan,"Yakawlang, Yakawlang No. 1, Yakawlang Hesa-i Awal, Yakawland Hise Awal.  (The 399 and 407 sets show Yakawlang No. 2 as part of Yakawlang.)",Yakawlang,1005
1006,Panjab,10,1004,Bamyan,Bamiyan,Panjab.,Panjab,1006
1002,Shibar,10,1005,Bamyan,,,,
1004,Kahmard,10,1006,Bamyan,Bamiyan,"Kahmard, Kohmard.",Kahmard,1004
1007,Waras,10,1007,Bamyan,Bamiyan,Waras.,Waras,1007
1101,Ghazni,11,1101,Ghazni,Ghazni,Ghazni.,Ghazni,1101
1103,Khwaja Umari,11,1102,Ghazni,Ghazni,"Khwaja Omari, Khwajah Omari, Khwajaumari, Khwaja Umari.",Khwaja Omari,1103
1102,Wali Muhammad-e- Shahid,11,1103,Ghazni,,,,
1104,Waghaz,11,1104,Ghazni,Ghazni,Waghaz.,Waghaz,1104
1107,Andar,11,1105,Ghazni,Baghlan,"Andarab, Bano Andarab.",Andarab,907
1105,Deh Yak,11,1106,Ghazni,Ghazni,"Deh Yak, Dehyak, Dih Yak.",Deh Yak,1105
1108,Zana Khan,11,1107,Ghazni,Badakhshan,Wakhan.,Wakhan,1728
1109,Rashidan,11,1108,Ghazni,Ghazni,Rashidan.,Rashidan,1109
1106,Jaghatu,11,1109,Ghazni,Ghazni,"Jaghatu, Jaghato, Jighatu, Bahrami Shahid, Bahram-e Shahid, Waeez Shahid, Wais Shahid.  (There is also a Jaghatu in Wardak province.)",Jaghatu,1106
1111,Qarabagh,11,1110,Ghazni,Ghazni,"Qara Bagh, Qarabagh, Qarah Bagh.  (There is also a Qara Bagh district of Kabul.)",Qara Bagh,1111
1112,Giro,11,1111,Ghazni,Ghazni,Giro.,Giro,1112
1110,Nawur,11,1112,Ghazni,Ghazni,Nawur.,Nawur,1110
1114,Jaghuri,11,1113,Ghazni,Ghazni,"Jaghuri, Jaghori, Jaghouri.",Jaghuri,1114
1115,Muqur,11,1114,Ghazni,Badghis,"Muqur, Moqur, Moqor.  (There is also a Moqur district in Ghazni.)",Muqur,3103
1113,Ab Band,11,1115,Ghazni,Ghazni,"Ab Band, Abband, Auband.",Ab Band,1113
1118,Ajrestan,11,1116,Ghazni,Ghazni,"Ajristan, Daya, Ajrestan,.",Ajristan,1118
1116,Malestan,11,1117,Ghazni,Ghazni,"Malistan, Malestan.",Malistan,1116
1117,Gelan,11,1118,Ghazni,Ghazni,"Gelan, Gilan, Janda (the distict center).",Gelan,1117
0,Nawa,,1119,,Ghazni,"Nawa, Nawah.  (There is also a Nawa (aka Nawa-i-Barakzai) in Helmand, and a Nawur district in Ghazni.)",Nawa,1119
1301,Gardez,13,1201,Paktya,Paktia,Gardez.,Gardez,1301
1306,Sayed Karam,13,1202,Paktya,Paktia,"There is also a Sayyad district in Sar-e-Pul, a Sayyid Khel in Parwan, and a Sayyid Abad district in Wardak.  (Mirzaka is part of Sayyid Karam in the 399 set, and split off in the others.)",Sayyid Karam,1306
1302,Ahmadaba,13,1203,Paktya,Paktia,"Ahmadabad, Ahmad Abad, Ahmadaba.",Ahmadabad,1302
1303,Zurmat,13,1204,Paktya,Paktia,"Zurmat, Zormat.  (Rohany Baba is part of Zurmat in the 399, 407 and 419 sets.)",Zurmat,1303
1304,Shawak,13,1205,Paktya,Paktia,"Shwak, Shawak, Showak.",Shwak,1304
1305,Zadran,13,1206,Paktya,Herat,Adraskan.,Adraskan,3209
1308,Lija Ahmad Khel,13,1207,Paktya,Paktia,"Laja Ahmad Khel, Ahmadkhel, Ahmad Khel.  (The Laja Mangel area is included in Laja Ahmad Khel in the 399 set.)",Laja Ahmad Khel,1308
1307,Ali Khel (Jaji),13,1208,Paktya,Paktia,"Jani Khel, Janikhel.  (There is also a Jani Khel in Paktika.)",Jani Khel,1309
1309,Jani Khel,13,1209,Paktya,Paktia,"Jani Khel, Janikhel.  (There is also a Jani Khel in Paktika.)",Jani Khel,1309
1310,Chamkani,13,1210,Paktya,Paktia,"Samkani, Chamkani, Chamkani, Tchamkani, Tsamkani, Samkani, Samkanai.",Samkani,1310
1311,Dand wa Patan,13,1211,Paktya,Paktia,"Dand Patan, Dand wa Patan, Dand-e Patan.  (There is also a Dand district in Kandahar.)",Dand Patan,1311
1501,Asad Abad,15,1301,Kunar,Kunar,"Asad Abad, Asadabad.",Asad Abad,1501
1503,Wata Pur,15,1302,Kunar,Kunar,"Watapoor, Watahpur, Watapur.",Watapoor,1503
1504,Narang,15,1303,Kunar,Farah,"Anar Dara, Anardara.",Anar Dara,3307
1505,Sarkani,15,1304,Kunar,Kunar,"Sar Kani, Sarkani, Sarkano.",Sar Kani,1505
1502,Marawara,15,1305,Kunar,Kunar,"Marawara, Marwara.",Marawara,1502
1506,Shigal wa shel tan,15,1306,Kunar,,,,
1507,Dara-e-Pech,15,1307,Kunar,Kunar,"Dara-e-Pech, Dara-I-Pech, Darah-ye Pech, Pech Dara, Mano Gai, Manogai, Manogay.",Dara-e-Pech,1507
1509,Chawkay,15,1308,Kunar,,,,
1510,Khas Kunar,15,1309,Kunar,Kunar,"Khas Kunar, Khaskunar, Khas.",Khas Kunar,1510
1512,Dangam,15,1310,Kunar,Kandahar,Daman.,Daman,2703
1508,Bar Kunar,15,1311,Kunar,Kunar,"Bar Kunar, Bar Konar, Barkunar, Asmar.",Bar Kunar,1508
1511,Ghazi Abad,15,1312,Kunar,Kunar,"Ghazi Abad, Ghaziabad.",Ghazi Abad,1511
1513,Chapa Dara,15,1313,Kunar,Ghor,"Char Sada, Chahar Sadah, Charsadda.",Char Sada,2304
1514,Nurgal,15,1314,Kunar,,,,
1515,Nari,15,1315,Kunar,Balkh,"Zari, Zaray.",Zari,2115
1601,Poruns,16,1401,Nuristan,,,,
1607,Mandol,16,1402,Nuristan,Nuristan,Mandol.,Mandol,1607
1605,Du Ab,16,1403,Nuristan,Nuristan,"Duab, Do Ab, Du’ab.",Duab,1605
1604,Nurgaram,16,1404,Nuristan,,,,
1603,Wama,16,1405,Nuristan,Nangarhar,"Kama, Kamah.",Kama,605
