id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
620226,M,independent,Abdul Jamil Oryakhil,عبدالجمیل اوریا خیل,201,0,0,0
627234,M,independent, Hafizullah Barikzai,حفیظ اله  بارکزی,359,0,0,0
629642,M,independent,Alhaj Ghulam Muhammad Faiez,الحاج غلام محمد فایز,424,0,0,0
630791,M,independent,Muhammad Zahir Abasi,محمد ظاهر عباسی,253,0,0,0
636657,M,independent, Eng. Sayed Hussain Mosawi,انجینر سید حسن موسوی,529,0,0,0
637520,M,independent, Hajji Sakhidad Ghafil,حاجی سخیداد غافل,528,0,0,0
638178,M,independent, Hajji Sultan Jan Khaksar,حاجی سلطان جان  خاکسار,26,0,0,0
638911,M,independent,Saranwal  uhammad Nadir,څارنوال محمد نادر حقو قمل,29,0,0,0
639759,M,independent,Ghulam Yahya Lashkar,غلام یحی لشکر,14,0,0,0
642212,M,independent,Eng. Zafar Khan,انجینر ظفر خان,21,0,0,0
644616,M,independent, Wasi Farman,واسع فرمان,408,0,0,0
660019,M,independent, Sayed Maqbool Omari,سید مقبول عمری,290,0,0,0
660038,M,independent,Alhaj Noorullah Noor,الحاج نور اله نور,271,0,0,0
660112,M,independent,Fazal Kareem Aymaq,فضل کریم ایماق,35,1,0,0
660167,M,independent,Alhaj Baidar Zazai,الحاج بیدار ځاځی,343,1,0,0
663112,M,independent,Eng. Ghulam Ali Munir,انجینرغلام علی منیر,525,0,0,0
663139,M,independent, Zalmay Tofaan,زلمی طوفان,119,0,0,0
664088,M,independent,Alhaj Abdul Karim Karimi,الحاج عبدالکریم  کریمی,225,0,0,0
665615,M,independent, Puhanduy Ustad Muhammad Yousuf,,514,0,0,0
665864,M,independent, Alhaj Muhammad Haroon Jalali,الحاج محمد هارون جلالی,455,0,0,0
674739,M,independent,Eng. Abdul Hadi,انجینر عبدالهادی,4,0,0,0
681699,M,independent,Ghulam Ali Zari Haqjo,غلام علی زارع   حقجو,120,0,0,0
688007,M,independent,Malim Abid,معلم عابد,235,0,0,0
699894,M,independent,Muhammad Dawood Akbar Nejrabi,محمد داود اکبر نجرابی,664,0,0,0
702521,F,independent,Khalida Alokozai,خالده الکوزی,9,0,0,0
704286,F,independent,Diploma Eng. Farzana Adib Zamani,دیپلوم انجنیر فرزانه ادیب زمانی,392,0,0,0
707512,M,independent, Ghulam Sakhi Omidwar,غلام سخی امیدوار,374,0,0,0
710847,F,Political party, Dr. Zia Baturai,دکتورس ضیاُ با توری,597,0,0,0
712200,F,independent,Zahra Amiri,زهره امیری,615,0,0,0
713650,F,independent,Fariba Charkhi,فریبا چرخی,443,0,0,0
716729,M,independent,Ghulam Ali Paykar Zada,غلام علی پیکار زاده,22,0,0,0
720771,M,independent, Muhammad Mahdi Mesam,محمد مهدی  میثم,442,0,0,0
723540,M,independent,Eng. Ghulam Muhammad Musafer,انجنیر غلام محمد مسافر,34,0,0,0
723941,M,independent, Eng. Shir Ahmad Shahi,انجنیر شیر احمد شاهی,585,0,0,0
725614,M,independent,Muhammad Ullah Babrak,محمد الله ببرک,59,0,0,0
726040,M,independent,Muhammad Emal Kharoti,محمد ایمل خروټی,325,0,0,0
727063,M,independent,Hajji Khuwajah Noor Noori,حاجی خواجه نور نوری,417,0,0,0
736982,M,independent,Sayed Miskeen Saifi,سید مسکین سیفی,395,0,0,0
739313,M,independent, Wakil Muhammad Amin,وکیل محمد امین,19,1,0,0
747229,M,independent,Ismail Safdari,اسماعیل صفدر ی,60,1,0,0
749247,M,independent,Naseem GulTutakhil,نسیم ګل توتا خیل,36,0,0,0
750974,M,independent,Hajji Muhammad Haneef Yosufzai,حاجی محمد حنیف  یوسفزی,611,0,0,0
755632,M,independent, Abdul Ghafar Sadid,عبدالغفار سدید,69,0,0,0
760686,F,Political party,Hajji Muhtarama  Habibi,حاجی محترمه حبیبی,32,0,0,0
762857,M,independent,Alhaj Abdul Kareem Malang Hauz Karbasi,الحاج عبدالکریم ملنگ حوض کرباسی,128,0,0,0
772781,M,independent,Hajji Ghulam Sarwar Faiez,حاجی غلام سرو ر  فایز,15,0,1,1
773273,F,independent, Safia Aymaq,صفیه ایماق,13,0,1,1
773376,M,independent,Abdul Hay A.K.A Zabit Zelgay,,38,0,0,0
775639,M,independent, Muhammad Akbar Omari,محمد اکبر  عمری,497,0,0,0
776222,M,independent,Alhaj Muhammad Hussain Chela Bagh,الحاج محمد حسین چیله باغ,513,0,0,0
776444,M,independent,Ustad Abdul Habib Samim,استاد عبدالحبیب صمیم,56,0,0,0
785284,M,independent,Dr. Zaheer Sadat,داکتر ظهیر سعادت,9,0,1,1
788019,M,independent,Eng. Hedayatullah Zafari,انجنیر هدایت الله ظفری,224,0,0,0
798530,M,independent,Hajji Roz‐ud‐Din,حاجی روزالدین,182,0,0,0
817022,M,independent, Mir Zaman Jahadyar,میر زمان جهادیار,15,0,0,0
818769,M,Political party,Dr. Ashuqullah Yaqubi,داکتر عاشق الله یعقوبی,298,0,0,0
819461,M,independent,Sayed Hassan Agha Hedayati,سید حسن آغا هدایتی,349,0,0,0
823296,F,independent, Dr. Mahira Muhammadi,,43,0,0,0
828465,M,independent, Fawad Sultani,فواد سلطانی,171,0,0,0
829210,M,independent,Sayed Mustafa Seddiqi,سید مصطفی صدیقی,4,0,0,0
834991,M,independent,Muhammad Dawood Barikzai Zarba,محمد داود بارکزی  ضربه,575,0,0,0
837116,M,independent,Alhaj Muhammad Almas Zahid,الحاج محمد الماس زاهد,8,1,1,1
848023,M,independent,Muhammad Sadiq  A.K.A Malim Qand gha,محمد صادق مشهور به معلم قند آغا,136,0,0,0
851548,F,independent,Waheeda Adalat Jo,وحیده عدالت جو,22,0,0,0
852885,M,independent,Eng. Abdul Basher Basharatullah,انجینر عبدالبشیر بشارت الله,16,0,0,0
860346,M,independent,Hajji Shah Agha Sakhizada,حاجی شاه آغا سخیزا ده,6,0,0,0
861135,F,independent,Zarghoona Hamid,زرغونه  حمید,283,0,0,0
888335,M,independent,Sayed Enayatullah A.K.A Hajji Jan Agha,سید عنایت الله  مشهور به حاجی جان اغا,2,0,0,0
904290,M,independent,Puhanmal Diploma  Eng. Muhammad Aziz Amini,پوهنمل دیپلوم انجنیر محمد عزیز امینی,420,0,0,0
926537,M,independent,Muhammad Hakim Tursan,محمد حکیم تورسن,212,0,0,0
928435,M,independent, Fida Muhammad Oriakhil,فدا محمد  اور یا خیل,490,0,0,0
931501,M,independent,Colonel Abdul Rahman Shahidani,دگروال عبدالرحمن شهیدانی,41,0,1,1
933568,M,independent, Alhaj Muhammad Esa Akhlaqi,الحاج محمد عیسی اخلاقی,42,0,0,0
935571,M,independent,Eng. Sharif Amin,انجنیر شریف امین,29,0,0,0
939974,M,independent,Hajji Sayed Mahmood Mukhlis,حاجی سید محمود مخلص,373,0,0,0
948420,F,independent,Ustad Nafisa Hanif Khush Naseeb,استاد نفیسه حنیف خوش نصیب,169,0,0,0
950415,F,independent,Sina Rahmani,سینا رحمانی,466,0,0,0
956930,M,independent, Alhaj Eng. Ishaq Ali Jamal,الحاج انجنیر اسحق علی جمال,471,0,0,0
957331,F,independent,Malalay Sofi Tawhid,ملالی صافی توحید,628,0,0,0
961319,F,independent,Shamayel Nikzad Amiri,شمایل  نیکزاد امیری,77,0,0,0
964917,F,independent, Fahima Sarfaraz,فهیمه  سرفراز,427,0,0,0
965730,F,independent,Mualim Ruqia Ihsan Timoori,معلم رقیه احسان تیموری,541,0,0,0
967383,M,independent,Hajji Obaidullah Rahmani,حاجی عبید الله رحمانی,303,0,0,0
967571,M,independent, Molawi Fazal Karim Saraji,مولوی فضل الکریم سراجی,49,0,0,0
972006,M,independent,Amanullah Nabi Zada,امان الله نبی زاده,2,0,0,0
972335,M,independent,Ustad Abdul Rab Rasool Sayyaf,استاد عبدرب الرسول سیاف,322,1,1,1
972403,M,independent, Hajji Mahdawi,حاجی مهدوی,104,0,0,0
972412,M,independent,Mir Ahmad Joyenda,میر احمد جوینده,8,1,0,0
972453,M,independent,Alhaj Sayed Abdul Nasir Yaqubi,الحاج سید عبدالناصر یعقوبی,232,0,0,0
972471,M,independent,Sayed Askar Faqiri,سید عسکر  فقیری,66,0,0,0
972751,M,independent, Muhammad Rafi,محمد رفیع,160,0,0,0
972761,M,independent,Muhammad Tahir Gardoon,محمد طاهر گردون,104,0,0,0
975057,F,independent,Parween Sofi,پروین صوفی,521,0,0,0
980064,M,independent,Sayed Shir Aqa Rohani,سید شیر آقا روحانی,482,0,0,0
980186,M,independent,Wahidullah Ghazikhil,وحید الله غازی خیل,272,0,0,0
980690,M,independent, Muhammad Dawood Jalali,محمد داود جلالی,264,0,0,0
981488,M,independent,Hajji Sikandar Farji,حاجی سکندر فراجی,184,0,0,0
983411,M,independent, Alhaj Amanullah,الحاج امان الله,66,0,0,0
984047,M,independent, Dr. Abdul Muhet Zakir,داکتر عبدالمحیط ذاکر,67,0,0,0
985041,M,independent,Abdul Ghafar Faizi Zadran,عبدالغفار فیضی ځدران,13,0,0,0
985759,F,independent,Hasina Sahak,حسینه سهاک,539,0,0,0
987032,F,independent,Amani Alhaj Bibi Hajji  Halima Muslima,الحاج بی بی حاجی مسلمه امانی,145,0,0,0
987061,F,independent,Nadira Kharoty,نادره خروټی,78,0,0,0
987081,F,independent, Nasreen Parsa,نسرین پارسا,304,0,0,0
987157,F,independent,Suraya Faizi,,661,0,0,0
987309,F,independent,Suhaila Ansari,سهیلا انصاری,15,0,0,0
988187,M,independent,Muhammad Ahrar,محمد احرار,643,0,0,0
988316,M,independent, Muhammad Rustam Faqirzada,محمد  رستم  فقیرزاده,350,0,0,0
988772,M,independent, Sayed Abdullah,سید عبدالله,132,0,0,0
989550,M,independent,Ahmad Raza Temori,احمد رضا تیموری,460,0,0,0
990147,M,independent,Eng. Abdul Latif Ahmadzai,انجینر عبد اللطیف احمدزی,27,0,0,0
990292,M,independent,Mawin Sarmuhaqiq Abdul Wasi Ferozi,معاون سر محقق عبدالواسع فیروزی,287,0,0,0
990359,M,Political party,Noor Ahmad Chardhiwal,نور احمد چهاردهی وال,17,0,0,0
990377,M,independent,Ghulam Mustafa Popalzai,غلام مصطفی پوپلزی,370,0,0,0
990384,M,independent,Alhaj Malik Taaj Muhammad,الحاج ملک تاج محمد,432,0,0,0
990425,M,independent,Hajji Abdul Fatah A.K.A Hajji Jan,حاجی عبدالفتاح مشهور به حاجی جان,401,0,0,0
992330,M,Political party,Abdul Samad Naab,عبدالصمد ناب,74,0,0,0
