alternateNames,district,Code
"Baghran.  (Nawamish is part of Baghran in the 399, 401, and 407 district sets, but separately in the 421 set.)",Baghran,3012
"Dishu, Deh-e-shu, Disho.",Dishu,3013
"Garm Ser, Darwishan, Garmser.",Garm Ser,3006
Kajaki.,Kajaki,3010
"Lashkargah, Lashkar Gah.",Lashkargah,3001
Marja.  (Marja is part of Nad Ali in the 399 district set.),Marja,3014
"Musa Qala, Musaqalah.",Musa Qala,3009
"Nad Ali, Nad-e-Ali, Nad 'Ali, Nadali. (Marja is part of Nad Ali in the 399 district set.)",Nad Ali,3002
"Nahr-i-Saraj, Gerishk, Greshk.",Nahr-i-Saraj,3004
"Nawa-i-Barikzayi, Nawa-e-Barakzaiy, Nawah-ye-Barakzai, Nawa, Shamalan.  (There is also a Nawa district in Ghazni.)",Nawa-i-Barikzayi,3003
"Nawamish, Nawamesh, Nawa Mesh.  (Nawamish is part of Baghran in the 399 and 407 district sets.)",Nawamish,3015
"Nawzad, Now Zad.",Nawzad,3007
"Reg-e-Khan Nishin, Reg, Khan Neshin.  (There is also a Reg, or Registan, in Kandahar.)",Reg-e-Khan Nishin,3011
Sangin.,Sangin,3008
"Washer, Washir.",Washer,3005
Adraskan.,Adraskan,3209
"Chishti Sharif, Chisht-e-Sharif, Khwaja Chist.",Chishti Sharif,3216
"Enjil, Injil.",Enjil,3202
Farsi.,Farsi,3215
"Ghoryan, Ghorian.",Ghoryan,3211
"Gulran, Golran.",Gulran,3208
"Guzera, Nizam-i- Shahid, Gozara, Guzarah.",Guzera,3203
Herat.,Herat,3201
"Karrukh, Karukh.",Karrukh,3204
"Koh-i-Zor, Kozeor.  (Koh-i-Zor is part of Shindand in the 399 and 407 sets.)",Koh-i-Zor,3219
"Kohsan, Kehsan, Kashan.",Kohsan,3213
"Kushk, Rubat-i-Sangi, Rabat Sangi.",Kushk,3207
"Kushk-i-Kuhna, Kushk-e-Kohna, Kashak Kohna, Koshk-e Kohna.",Kushk-i-Kuhna,3210
"Obe, Oba, Obeh.",Obe,3212
"Pashtun Zarghun, Pashtoon Zarghoon, Pashtunzarghun.",Pashtun Zarghun,3206
"Pusht-i-Koh, Pusht-e-Koh, Pusht Koh, Poshtko.  (Pusht-e Koh is part of Shindand in the 399 and 407 sets.)",Pusht-i-Koh,3218
"Shindand, Sabzwar. Shindand, Esfezar (Shindand's five buluk subdivisions were split into five districts in the 419 and 421 set.  One of them still named Shindand.)",Shindand,3214
"Zawol, Zewal.  (Zawol is part of Shindand in the 399 and 407 sets.)",Zawol,3220
"Zendahjan, Zindajan, Zinda Jan.",Zendahjan,3205
"Zer-i-Koh, Zerko.  (Zer-i Koh is part of Shindand in the 39 and 407 sets.)",Zer-i-Koh,3217
"Aqchah, Aqcha.",Aqchah,2807
Darzab.,Darzab,2811
"Faizabad, Fayzabad, Faiz Abad.  (There is also a Faiz Abad district in Badakhshan.)",Faizabad,2808
"Khamyab, Khamab, Kham Aab, Khamaab.",Khamyab,2806
"Khanaqa, Khaniqa.",Khanaqa,2803
"Khwajadukoh, Khwaja Dukoh, Khwajah Do Koh, Kohja Dukoh.",Khwaja Dukoh,2802
"Mardyan, Mardian, Murdian.",Mardyan,2809
"Mingajik, Mangajek.",Mingajik,2804
"Qarqin, Qarqeen.",Qarqin,2810
"Qush Tepa, Qushtepa, Qushtipa.",Qush Tepa,2805
"Sheberghan, Shiberghan, Shibirghan.",Sheberghan,2801
"Bagrami.  (There is also a Bagram in Parwan. The airfield is in Baghram of Parwan, not Baghrami.)",Bagrami,0104
"Chahar Asyab, Chaharasyab, Char Asyab, Char Asiab.",Chahar Asyab,0103
"DehSabz, Deh-e Sabz, Deh Sabz, Dih Sabz.",DehSabz,0105
"Estalef, Estalif, Istalif, Istalef.",Estalef,0113
"Farza, Farzah.",Farza,0112
"Guldara, Gul Dara, Gul Darah, Guldra.",Guldara,0111
"Kabul.  (Char Dehi, a separate district in 325 district set, was absorbed into the Kabul district in the 1990's.)",Kabul,0101
Kalakan.,Kalakan,0110
"Khak-e-Jabar, Khak-i-Jabar, Khak Jabar, Khaki Jabbar.",Khak-e-Jabar,0109
"Mir Bacha Kot, Mirbachakot.",Mir Bacha Kot,0108
"Musahi, Musayi, Musahi, Mussahi.",Musahi,0107
Paghman.,Paghman,0102
"Qara Bagh, Qarahbagh, Qarabagh.  (There is also a Qara Bagh district in Ghazni.)",Qara Bagh,0114
"Shakar Dara, Shakardara.",Shakar Dara,0106
