id,name,provId,geoId,provName,alternateNames,district,Code
1003,Kahmard,10,,Bamyan,"Kahmard, Kohmard.",Kahmard,1004
1004,Yakawlang,10,,Bamyan,"Yakawlang, Yakawlang No. 1, Yakawlang Hesa-i Awal, Yakawland Hise Awal.  (The 399 and 407 sets show Yakawlang No. 2 as part of Yakawlang.)",Yakawlang,1005
1005,Panjab,10,,Bamyan,Panjab.,Panjab,1006
1006,Waras,10,,Bamyan,Waras.,Waras,1007
1007,Sayghan,10,,Bamyan,"Saighan, Sayghan.",Saighan,1003
1101,Ghazni,11,,Ghazni,Ghazni.,Ghazni,1101
1102,Bahrami Shahid (Jaghatu),11,,Ghazni,"Nahri Shahi, Nahr-e Shahi.",Nahri Shahi,2102
1103,Khwaja Umari,11,,Ghazni,"Khwaja Omari, Khwajah Omari, Khwajaumari, Khwaja Umari.",Khwaja Omari,1103
1104,Nawur,11,,Ghazni,Nawur.,Nawur,1110
1105,Ajristan,11,,Ghazni,"Shahristan, Shahrestan.",Shahristan,2402
1106,Malistan,11,,Ghazni,"Gulistan, Gulestan.",Gulistan,3310
1107,Jaghuri,11,,Ghazni,"Jaghuri, Jaghori, Jaghouri.",Jaghuri,1114
1108,Muqur,11,,Ghazni,"Muqur, Moqur, Moqor.  (There is also a Moqur district in Ghazni.)",Muqur,3103
1109,Gelan,11,,Ghazni,"Gelan, Gilan, Janda (the distict center).",Gelan,1117
1110,,11,,Ghazni,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
1111,Ab Band,11,,Ghazni,"Ab Band, Abband, Auband.",Ab Band,1113
1112,Giro,11,,Ghazni,Giro.,Giro,1112
1113,Qarabagh,11,,Ghazni,"Qara Bagh, Qarabagh, Qarah Bagh.  (There is also a Qara Bagh district of Kabul.)",Qara Bagh,1111
1114,Andar,11,,Ghazni,"Andarab, Bano Andarab.",Andarab,907
1115,Dih Yak,11,,Ghazni,,,
1116,Zana Khan,11,,Ghazni,Wakhan.,Wakhan,1728
1117,Rashidan,11,,Ghazni,Rashidan.,Rashidan,1109
1118,Waghaz,11,,Ghazni,Waghaz.,Waghaz,1104
1119,Wali Muhammadi Shahid,11,,Ghazni,,,
1201,Gardiz,12,,Paktia,,,
1202,Zurmat,12,,Paktia,"Zurmat, Zormat.  (Rohany Baba is part of Zurmat in the 399, 407 and 419 sets.)",Zurmat,1303
1203,Shawak,12,,Paktia,"Shwak, Shawak, Showak.",Shwak,1304
1204,Zadran,12,,Paktia,Adraskan.,Adraskan,3209
1205,Ahmad Abad,12,,Paktia,"Asad Abad, Asadabad.",Asad Abad,1501
1206,Jani Khail,12,,Paktia,"Jani Khel, Janikhel.  (There is also a Jani Khel in Paktika.)",Jani Khel,1309
1207,Dand Patan,12,,Paktia,"Dand Patan, Dand wa Patan, Dand-e Patan.  (There is also a Dand district in Kandahar.)",Dand Patan,1311
1208,Chamkani,12,,Paktia,"Samkani, Chamkani, Chamkani, Tchamkani, Tsamkani, Samkani, Samkanai.",Samkani,1310
1209,Laja Ahmad Khail,12,,Paktia,"Laja Ahmad Khel, Ahmadkhel, Ahmad Khel.  (The Laja Mangel area is included in Laja Ahmad Khel in the 399 set.)",Laja Ahmad Khel,1308
1210,Sayed Karam,12,,Paktia,"There is also a Sayyad district in Sar-e-Pul, a Sayyid Khel in Parwan, and a Sayyid Abad district in Wardak.  (Mirzaka is part of Sayyid Karam in the 399 set, and split off in the others.)",Sayyid Karam,1306
1211,Ali Khail (Jaji),12,,Paktia,,,
1301,Asadabad,13,,Kunarha,"Asad Abad, Asadabad.",Asad Abad,1501
1302,Marawara,13,,Kunarha,"Marawara, Marwara.",Marawara,1502
1303,Bar Kunar,13,,Kunarha,"Bar Kunar, Bar Konar, Barkunar, Asmar.",Bar Kunar,1508
1304,Dangam,13,,Kunarha,Daman.,Daman,2703
1305,Nari,13,,Kunarha,"Zari, Zaray.",Zari,2115
1306,Ghaziabad,13,,Kunarha,"Ghazi Abad, Ghaziabad.",Ghazi Abad,1511
1307,Shaygal wa shiltan,13,,Kunarha,,,
1308,Wata Pur,13,,Kunarha,"Watapoor, Watahpur, Watapur.",Watapoor,1503
1309,Chapa Dara,13,,Kunarha,"Char Sada, Chahar Sadah, Charsadda.",Char Sada,2304
1310,Dara-I-Pech,13,,Kunarha,"Dara-e-Pech, Dara-I-Pech, Darah-ye Pech, Pech Dara, Mano Gai, Manogai, Manogay.",Dara-e-Pech,1507
1311,Narang,13,,Kunarha,"Anar Dara, Anardara.",Anar Dara,3307
1312,Chawkay,13,,Kunarha,,,
1313,Nurgal,13,,Kunarha,,,
1314,Khas Kunar,13,,Kunarha,"Khas Kunar, Khaskunar, Khas.",Khas Kunar,1510
1315,Sarkani,13,,Kunarha,"Sar Kani, Sarkani, Sarkano.",Sar Kani,1505
1401,Parun,14,,Nooristan,,,
1402,Kamdesh,14,,Nooristan,"Kamdesh, Kamdish.",Kamdesh,1606
1403,Waygal,14,,Nooristan,"Waygal, Want Wagal, Wegal, Want Wegal.",Waygal,1602
1404,,14,,Nooristan,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
1405,Bargi Matal,14,,Nooristan,"Bargi Matal, Barg-i-Matal, Barg-e-Matal, Barg-e-Mataal, Bargromatal.",Bargi Matal,1608
1406,Wama,14,,Nooristan,"Kama, Kamah.",Kama,605
1407,Du Ab,14,,Nooristan,"Duab, Do Ab, Du’ab.",Duab,1605
1408,Nurgaram,14,,Nooristan,,,
1501,Fayzabad,15,,Badakhshan,"Faiz Abad, Fayzabad.  (There is also a Faizabad district in Jowzjan.)",Faiz Abad,1701
1502,Kishim,15,,Badakhshan,"Kishim, Keshem, Keshm.",Kishim,1715
1503,Jurm,15,,Badakhshan,"Jurm, Jorm, Juram.",Jurm,1710
1504,Kuran Wa Munjan,15,,Badakhshan,"Kiran Wa Menjan, Kirn wa Manjan, Koran o Monjan.",Kiran Wa Menjan,1726
1505,Zebak,15,,Badakhshan,"Zebak, Zibak.",Zebak,1725
1506,Wakhan,15,,Badakhshan,Khwahan.,Khwahan,1720
1507,Ishkashiem,15,,Badakhshan,"Eshkashim, Ishkashem.  (Eshkashim is sometimes confused with Eshkamish district of Takhar.)",Eshkashim,1723
1508,Baharak,15,,Badakhshan,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
1509,Shighnan,15,,Badakhshan,Shighnan.,Shighnan,1719
1510,Darwaz,15,,Badakhshan,,,
1511,Khwahan,15,,Badakhshan,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
1512,Raghistan,15,,Badakhshan,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
1513,Shahri Buzurg,15,,Badakhshan,"Shahri Buzurg, Shahr-e-Buzorg, Shahr-e Buzurg, Shar-e-Buzurg.",Shahri Buzurg,1713
1514,Arghanj Khaw,15,,Badakhshan,"Arghanj Khwah, Arghanjkhwa.",Arghanj Khwah,1703
1515,Argo,15,,Badakhshan,"Argo, Orgu.",Argo,1702
1516,Darayim,15,,Badakhshan,"Darayim, Darayem, Darah Aim.",Darayim,1707
1517,Darwazbala,15,,Badakhshan,"Darwaz-e-Bala, Upper Darwaz, Mamai, Mam May.  (Several sources mistakenly reverse Mamai, the center of Darwaz-e-Bala, with Nesay, the center of Darwaz-e-Payin.)",Darwaz-e-Bala,1727
1518,Khash,15,,Badakhshan,Khash.,Khash,1705
1519,Kohistan,15,,Badakhshan,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
1520,Kuf Ab,15,,Badakhshan,"Kufab, Kofab, Kuf Ab.",Kufab,1721
1521,Shaki,15,,Badakhshan,,,
1522,Shahada,15,,Badakhshan,"Shuhada, Shohada.",Shuhada,1712
1523,Tagab (Kishmi Bala),15,,Badakhshan,"Tagab, Tagau.",Tagab,1717
1524,Tashkan,15,,Badakhshan,"Tashkan, Teshkan.",Tashkan,1711
1525,Warduj,15,,Badakhshan,,,
1526,Yaftal Sufla,15,,Badakhshan,"Yaftal-e-Sufla, Yaftal Payin, Yaftal-i-Paen, Lower Yaftal.",Yaftal-e-Sufla,1704
1527,Yamgan (Girwan),15,,Badakhshan,"Yamgan, Girwan, Yumgan,.",Yamgan,1718
1528,Yawan,15,,Badakhshan,Yawan.,Yawan,1709
1601,Taluqan,16,,Takhar,"Taluqan, Taloqan.",Taluqan,1801
1602,Bangi,16,,Takhar,Sangin.,Sangin,3008
1603,Ishkamish,16,,Takhar,"Eshkamesh, Ishkamish.  (There is also an Eshkashim district in Badakhshan.)",Eshkamesh,1811
1604,Chal,16,,Takhar,Chal.,Chal,1805
1605,Warsaj,16,,Takhar,Warsaj.,Warsaj,1813
1606,Farkhar,16,,Takhar,"Charkh, Tchark.",Charkh,503
1607,Kalfagan,16,,Takhar,,,
1608,Rustaq,16,,Takhar,"Rustaq, Rostak.",Rustaq,1810
1609,Chah Ab,16,,Takhar,"Chahar Asyab, Chaharasyab, Char Asyab, Char Asiab.",Chahar Asyab,103
1610,Yangi Qala,16,,Takhar,Salang.,Salang,306
1611,Darqad,16,,Takhar,Darqad.,Darqad,1815
1612,Khwaja Ghar,16,,Takhar,"Khwaja Omari, Khwajah Omari, Khwajaumari, Khwaja Umari.",Khwaja Omari,1103
1613,Baharak,16,,Takhar,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
1614,Dashti Qala,16,,Takhar,"Dashti Qala, Dasht-i-Qala, Dasht-e-Qala,, Dasht-e Qal'ah.",Dashti Qala,1812
1615,Hazar Sumuch,16,,Takhar,"Hazar Sumuch, Hazarsumuch, Hazar Sumoch.",Hazar Sumuch,1802
1616,Khwaja Bahawuddin,16,,Takhar,"Khwaja Bahawuddin, Khwajabahauddin, Khwaja Bahauddin.",Khwaja Bahawuddin,1814
1617,Namak Ab,16,,Takhar,"Ab Kamari, Ab-e Kamari, Abkamari.",Ab Kamari,3102
1701,Kunduz,17,,Kunduz,"Kunduz, Konduz.  (Gurtepa is part of the Kunduz capital district in the 399 and 407 sets.)",Kunduz,1901
1702,Imam Sahib,17,,Kunduz,"Imam Sahib, Hazrati Imam Sahib, Emamsaheb, Emam Sahib.",Imam Sahib,1905
1703,Qalay-I- Zal,17,,Kunduz,"Qala-e-Zal, Qala-i-Zal, Qal'ah-ye Zal.",Qala-e-Zal,1907
1704,Chahar Dara,17,,Kunduz,"Anar Dara, Anardara.",Anar Dara,3307
1705,Aliabad,17,,Kunduz,"Ali Abad, Aliabad.",Ali Abad,1903
1706,Khanabad,17,,Kunduz,"Khanaqa, Khaniqa.",Khanaqa,2803
1707,Dashte Archi,17,,Kunduz,"Dasht-e-Archi, Dasht-i-Archi.  (Calbad is part of Dasht-e-Archi in the 399 and 407 sets.)",Dasht-e-Archi,1906
1801,Aybak,18,,Samangan,"Aybak, Aibak.",Aybak,2001
1802,Hazrati Sultan,18,,Samangan,"Hazrat-e-Sultan, Hazrat Sultan.",Hazrat-e-Sultan,2002
1803,Dara-I-Sufi Bala,18,,Samangan,,,
1804,Dara-I-Sufi Payin,18,,Samangan,"Dara-e-Soof-i-Payin, Darah-ye-Suf-e Pa'in, Dara-e-Sof-e-Payin, Dara-e-Souf-e-Payan, Dara-i-Sauf Paeen.",Dara-e-Soof-i-Payin,2006
1805,Ruyi Du Ab,18,,Samangan,,,
1806,Khuram Wa Sarbagh,18,,Samangan,"Khuram Wa Sarbagh,Khuram wa Sar Bagh, Khuram Sarbagh.",Khuram Wa Sarbagh,2003
1807,Feroz Nakhchir,18,,Samangan,"Feroz Nakhcheer, Feroznakhchir, Feroz Nakhchir.",Feroz Nakhcheer,2004
1901,Sari Pul,19,,Sar-i-Pul,,,
1902,Sangcharak,19,,Sar-i-Pul,"Sancharak, Sangcharak.",Sancharak,2205
1903,Kohistanat,19,,Sar-i-Pul,"Kohistan, Kohestiani.  (There is also a Kohistan in Faryab, a Hissa-e-Awali Kohistan in Kapisa, a Hissa-e Duome Kohistan in Kapisa, and a Kohistanat in Saripul.)",Kohistan,1708
1904,Balkhab,19,,Sar-i-Pul,Balkh.,Balkh,2106
1905,Sozma Qala,19,,Sar-i-Pul,"Sozma Qala, Sozmaqala, Sozmah Qal'ah.",Sozma Qala,2204
1906,Sayyad,19,,Sar-i-Pul,"Sayyad, Sayad.  (There is also a Sayyid Khel district in Parwan, a Sayyid Karam in Paktika, and a Sayyid Abad district in Wardak.)",Sayyad,2202
1907,Gosfandi,19,,Sar-i-Pul,Gosfandi.,Gosfandi,2206
2001,Chaghcharan,20,,Ghor,"Khani Charbagh, Khan-e-Char Bagh. Khan-e Chahr Bagh, Khan Chahr Bagh.",Khani Charbagh,2914
2002,Shahrak,20,,Ghor,"Baharak, Bahorak.  (There is also a Baharak district in Takhar.)",Baharak,1706
2003,Tulak,20,,Ghor,"Tulak, Tolak.",Tulak,2309
2004,Saghar,20,,Ghor,"Saghar, Sagher.",Saghar,2310
2005,Taywara,20,,Ghor,"Taywara, Taywarah, Taiwara, Taywaraha.",Taywara,2308
2006,Pasaband,20,,Ghor,"Ab Band, Abband, Auband.",Ab Band,1113
2007,Lal Wa Sarjangal,20,,Ghor,"Lal Wa SarJangal, La'l wa SarJangal.",Lal Wa SarJangal,2307
2008,Charsada,20,,Ghor,"Char Sada, Chahar Sadah, Charsadda.",Char Sada,2304
2009,Dawlat Yar,20,,Ghor,"Dawlatyar, Dolatyar, Dawlat Yar.  (There is also a Dawlatshar in Laghman, a Dawlat Abad in Faryab, and a Dawlatabad in Balkh.)",Dawlatyar,2303
2010,Du Layna,20,,Ghor,,,
2101,Nili,21,,Daikondi,"Nili, Layli.",Nili,2401
2102,Gizab,21,,Daikondi,"Gizab, Gezab.  (Patoo is part of Gizab district, and it is part of Daikundi in the 399 and 407 sets.  Gizab (minus Patoo) is part of Urugzan province in the 419 and 421 sets.)",Gizab,2506
2103,Ishtarlay,21,,Daikondi,"Ishterlai, Ashtarlay, Ishterli.",Ishterlai,2403
2104,Kajran,21,,Daikondi,,,
2105,Khadir,21,,Daikondi,,,
2106,Gaiti,21,,Daikondi,,,
2107,Miramor,21,,Daikondi,"Miramor, Mir Amor.",Miramor,2406
